ID,AdCount,AdId,State,Apply,Confidence
1,0,268,FAMILIARIZATION,no,2
1,1,401,FAMILIARIZATION,no,3
1,2,43,FAMILIARIZATION,yes,7
1,3,133,FAMILIARIZATION,no,5
1,4,451,TRAINING,yes,1
1,5,359,TRAINING,yes,5
1,6,259,TRAINING,yes,2
1,7,342,TRAINING,yes,1
1,8,197,TRAINING,yes,3
1,9,298,TRAINING,no,7
1,10,314,TRAINING,yes,5
1,11,175,TRAINING,yes,3
1,12,146,TRAINING,yes,7
1,13,123,TRAINING,yes,5
1,14,150,DEFAULT,yes,7
1,15,421,DEFAULT,yes,5
1,16,240,DEFAULT,yes,6
1,17,443,DEFAULT,yes,4
1,18,396,DEFAULT,yes,5
1,19,78,DEFAULT,no,6
1,20,325,DEFAULT,yes,5
1,21,112,COLORING,yes,5
1,22,306,COLORING,yes,6
1,23,384,COLORING,yes,7
1,24,99,COLORING,yes,6
1,25,346,COLORING,yes,5
1,26,155,COLORING,yes,6
1,27,315,COLORING,yes,5
1,28,483,FADING,yes,7
1,29,318,FADING,yes,5
1,30,61,FADING,yes,4
1,31,387,FADING,yes,6
1,32,337,FADING,yes,7
1,33,353,FADING,yes,5
1,34,157,FADING,yes,5
